1	0.149
2	0.11
3	0.057
4	0.043
5	0.058
6	0.033
7	0.046
8	0.045
9	0.043
10	0.043
11	0.054
12	0.039
13	0.032
14	0.025
15	0.016
16	0.034
17	0.021
18	0.016
19	0.012
20	0.007
21	0.01
22	0.003
23	0.004
24	0.009
25	0.007
26	0.006
27	0.003
28	0.005
29	0.003
30	0.002
31	0.003
32	0.003
33	0.003
34	0.003
35	0.002
36	0.002
37	0.002
38	0.004
39	0.003
40	0.001
41	0.001
42	0.002
43	0.002
45	0.001
51	0.001
54	0.002
56	0.001
58	0.003
63	0.001
66	0.003
70	0.001
72	0.001
76	0.001
88	0.001
98	0.001
100	0.001
105	0.001
112	0.001
120	0.001
121	0.002
134	0.001
144	0.001
150	0.001
179	0.001
189	0.001
229	0.001
230	0.001
241	0.001
244	0.001
281	0.001
282	0.001
